,Accession,Description,P-value,Test,Adjusted P-value (BH),"Abundances (Normalized): F1: Sample, Control, 1","Abundances (Normalized): F2: Sample, Control, 2","Abundances (Normalized): F3: Sample, Control, 3","Abundances (Normalized): F4: Sample, Mutant, 1","Abundances (Normalized): F5: Sample, Mutant, 2","Abundances (Normalized): F6: Sample, Mutant, 3",log2(Fold Change),#NAME?
42,Q6PE26,Calreticulin OS=Danio rerio OX=7955 GN=calr3a PE=1 SV=1,0.0036156,t-test,0.006121147,800950.8033,1089806.003,1207577.167,2943036.464,2979921.567,2976306.875,1.52219351,2.213167165
43,Q1MT41,Hydrolase RBBP9 OS=Danio rerio OX=7955 GN=rbbp9 PE=1 SV=1,6.70E-05,t-test,0.000300501,182654.021,181436.8129,208590.2964,522627.7839,536239.1338,566954,1.505364382,3.52215454
45,Q7ZVD9,DNA-(apurinic or apyrimidinic site) lyase OS=Danio rerio OX=7955 GN=rps3 PE=1 SV=1,1.14E-05,t-test,0.000115361,63484.09478,65049.57643,73282.43372,183156.3924,182629.2256,174917.3125,1.421794869,3.937941852
47,A0A8M1P1C1,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Danio rerio OX=7955 GN=eci1 PE=1 SV=1",2.42E-05,t-test,0.000150355,510352.4707,558254.1002,579281.7899,1427495.001,1459344.459,1367800,1.368418375,3.822881924
48,Q6DG81,Plastin-3 OS=Danio rerio OX=7955 GN=pls3 PE=2 SV=1,0.000932052,t-test,0.002088445,183824.6452,166681.7356,188218.1104,460196.2589,434067.2044,488890.2188,1.360341904,2.680177011
49,Q8AYB9,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Danio rerio OX=7955 GN=rpn1 PE=1 SV=1,1.63E-06,t-test,3.94E-05,275601.4141,283944.9302,260589.5122,697139.5528,696150.2134,676920.9375,1.335842792,4.40503873
50,Q8JHI0,ADP/ATP translocase OS=Danio rerio OX=7955 GN=slc25a5 PE=1 SV=1,9.72E-06,t-test,0.000115361,728685.7664,784698.7874,829622.6131,1885952.657,1982563.21,1963918.75,1.315736862,3.937941852
52,Q567N5,Large ribosomal subunit protein eL6 OS=Danio rerio OX=7955 GN=rpl6 PE=1 SV=1,0.000957655,t-test,0.002100312,1870769.82,1945878.213,1892812.354,4883119.951,4710835.123,4514935.438,1.305178237,2.677716201
53,Q5XJ42,Glrx protein OS=Danio rerio OX=7955 GN=glrx PE=1 SV=1,0.001117092,t-test,0.002293604,389465.5926,338493.4602,381201.4685,947774.8862,886655.7281,829917.3125,1.264314319,2.639481638
54,A0A0R4IAZ9,Protein transport protein Sec24C isoform X1 OS=Danio rerio OX=7955 GN=sec24c PE=1 SV=1,0.000146564,t-test,0.000484274,119666.2149,108762.3984,127059.3303,293998.9339,267482.9059,284071.0625,1.250094388,3.314908562
56,E9QJN3,Acyl-CoA thioesterase 11a OS=Danio rerio OX=7955 GN=acot11a PE=4 SV=1,4.18E-05,t-test,0.00020678,134259.2897,126654.6778,142696.699,290247.1304,299475.5271,297297.8125,1.136003096,3.684492413
58,Q7ZVB4,Epoxide hydrolase OS=Danio rerio OX=7955 GN=ephx1 PE=1 SV=1,0.004516049,t-test,0.007324348,236423.1977,241466.0942,231588.7019,516449.4255,468984.1076,457831.0625,1.024505974,2.135231051
59,A0A8M9PPZ9,Restin homolog isoform X2 OS=Danio rerio OX=7955 GN=si:ch211-14a17.10 PE=1 SV=1,0.006372106,t-test,0.009998507,89198.65142,141334.3087,103545.4172,211248.9361,223704.4419,242367.4219,1.01965269,2.00006484
60,F1Q5B5,Alkaline phosphatase OS=Danio rerio OX=7955 GN=alpl PE=1 SV=1,0.001045735,t-test,0.002210455,194146.9091,191548.0021,188524.2462,364515.575,390307.7904,376392.6563,0.97820109,2.655518294
61,Q9DDE4,Somatostatin OS=Danio rerio OX=7955 GN=sst2 PE=2 SV=1,0.014147871,t-test,0.02053037,932859.8522,1381631.383,1327307.312,2394181.22,2373661.648,2360638,0.968943541,1.687603234
62,Q6PBZ1,60S ribosomal protein L7a OS=Danio rerio OX=7955 GN=rpl7a PE=1 SV=1,0.000262172,t-test,0.000744105,2793823.773,2552273.007,2533789.314,4948303.886,5023801.367,5068093.25,0.932576928,3.128365909
63,A0A8M3BE00,APOBEC1 complementation factor OS=Danio rerio OX=7955 GN=a1cf PE=1 SV=1,0.012332109,t-test,0.018450364,252647.4017,253819.2298,269041.4031,457283.1385,549232.2342,471752.875,0.930694452,1.733995052
64,Q5TZ78,"Cytochrome P450, family 2, subfamily AD, polypeptide 3 OS=Danio rerio OX=7955 GN=cyp2ad3 PE=1 SV=1",0.000227886,t-test,0.000676645,622921.0263,669523.2285,637439.3323,1175949.864,1163159.558,1099523.125,0.833321132,3.169639176
65,F1Q890,Plasminogen OS=Danio rerio OX=7955 GN=plg PE=1 SV=1,0.001910396,t-test,0.003687065,143630.0343,133419.054,128602.8464,241277.8102,255143.169,224625.0625,0.829849015,2.433319221
66,B8JL43,Serotransferrin OS=Danio rerio OX=7955 GN=tfa PE=1 SV=1,0.000761686,t-test,0.001761157,1126328.359,1172700.929,1050934.081,1911955.827,2096414.344,1922325.375,0.824055992,2.754202014
67,Q92051,Carbonic anhydrase OS=Danio rerio OX=7955 GN=cahz PE=1 SV=2,0.000462068,t-test,0.001158171,291533.7027,293559.8117,291640.4908,511662.5892,494413.1784,501979.6875,0.78247837,2.936227213
68,B1H1J6,Dihydropyrimidinase OS=Danio rerio OX=7955 GN=dpys PE=1 SV=1,2.73E-05,t-test,0.000163228,600961.3108,557185.1549,582120.8458,986333.6565,978616.4317,944478.8125,0.741427064,3.787204224
69,A4QP67,Heterogeneous nuclear ribonucleoprotein D0 OS=Danio rerio OX=7955 GN=hnrnpd PE=1 SV=1,0.002319867,t-test,0.004223909,384202.4715,324021.0572,398664.3657,556724.6229,598361.3124,606900.75,0.670693909,2.37428547
70,Q8JGS9,Small ribosomal subunit protein uS13 OS=Danio rerio OX=7955 GN=rps18 PE=1 SV=1,8.98E-05,t-test,0.000353804,4185281.851,4269171.216,4119156.212,6745740.908,6675786.34,6479844.875,0.662469065,3.451236889
71,A0A8M3ANS0,Dystrobrevin OS=Danio rerio OX=7955 GN=dtna PE=3 SV=1,0.008385635,t-test,0.012856951,156036.9269,157094.4286,138829.2823,256128.7651,241152.5833,214727.9375,0.655698926,1.890862021
72,Q6TLF6,Regucalcin OS=Danio rerio OX=7955 GN=rgn PE=2 SV=1,0.000401482,t-test,0.001047109,2349736.494,2506624,2542229.671,3896318.452,3824830.808,3814297.375,0.640751574,2.980008258
73,A0A8M2BEG1,LOW QUALITY PROTEIN: 40S ribosomal protein S11 isoform X2 OS=Danio rerio OX=7955 GN=rps11b PE=1 SV=1,0.001325201,t-test,0.002664207,2601272.721,2545341.323,2731251.515,4081716.407,4076692.63,4092916,0.63706109,2.57443205
74,Q6NYL3,Peroxisomal bifunctional enzyme OS=Danio rerio OX=7955 GN=ehhadh PE=2 SV=1,9.41E-05,t-test,0.000360305,2919920.306,2916236.41,2904151.159,4463019.901,4503504.614,4430443.375,0.616150511,3.443329553
75,Q6NWF6,"Keratin, type II cytoskeletal 8 OS=Danio rerio OX=7955 GN=krt8 PE=1 SV=1",2.29E-05,t-test,0.000147543,4374548.53,4320998.157,4418533.292,6572770.521,6579676.157,6725464.531,0.600049566,3.831081504
76,Q6P5M3,Small ribosomal subunit protein uS4 OS=Danio rerio OX=7955 GN=rps9 PE=1 SV=1,0.005854144,t-test,0.009337602,321875.826,338531.3345,328849.4671,524847.9151,496690.9332,468397.875,0.590834331,2.029764632
77,B8JLJ8,Heterogeneous nuclear ribonucleoprotein K OS=Danio rerio OX=7955 GN=hnrpkl PE=1 SV=1,0.003053289,t-test,0.005357135,310344.6216,263556.1742,304385.3303,405602.6231,458048.9175,455089.875,0.586398783,2.271067442
78,Q6P3J5,Elongation factor 2b OS=Danio rerio OX=7955 GN=eef2b PE=1 SV=1,3.52E-06,t-test,5.66E-05,4264586.097,4201142.832,4178727.463,6333142.057,6363817.359,6243476.75,0.58296454,4.247189777
79,B3DFP9,Apolipoprotein A-II OS=Danio rerio OX=7955 GN=apoa2 PE=1 SV=1,1.26E-05,t-test,0.000115361,6924732.413,7154628.901,6899475.445,10173061.36,10228229.26,10022933.38,0.536285781,3.937941852
80,F1QM42,Cytoplasmic aconitate hydratase OS=Danio rerio OX=7955 GN=aco1 PE=1 SV=2,0.001053688,t-test,0.002210455,1253979.064,1274537.921,1371164.437,1953519.208,1786092.389,1902291.5,0.532825617,2.655518294
82,E9QB46,Methanethiol oxidase OS=Danio rerio OX=7955 GN=selenbp1 PE=1 SV=1,0.004081348,t-test,0.006849567,1086300.77,935081.8733,951216.5712,1451771.859,1357722.268,1381443.484,0.495548083,2.164336865
84,Q5RKQ3,Far upstream element-binding protein 3 OS=Danio rerio OX=7955 GN=fubp3 PE=1 SV=1,0.000251339,t-test,0.000729194,1874834.492,1771228.945,1879300.425,2408470.26,2422767.632,2518695.313,0.411661665,3.137156653
85,A8KC60,threonine--tRNA ligase OS=Danio rerio OX=7955 GN=tars1 PE=1 SV=1,0.046111453,t-test,0.061375934,116512.8757,111011.1919,105447.8849,141450.7862,162043.4293,132469.4531,0.388807253,1.212001884
86,F1QWR0,Nipsnap homolog 3A (C. elegans) OS=Danio rerio OX=7955 GN=nipsnap3a PE=1 SV=1,0.047960035,t-test,0.063399225,603809.2693,662757.6433,764897.1231,890113.8191,879868.4628,873001.5,0.379647748,1.197916053
87,Q7T2J4,Alcohol dehydrogenase 8b OS=Danio rerio OX=7955 GN=adh8b PE=1 SV=1,0.000148042,t-test,0.000484274,1322436.955,1338736.859,1376217.546,1728683.693,1775117.671,1707201.375,0.368137574,3.314908562
90,A0A8N7TDX3,"Asparagine--tRNA ligase, cytoplasmic OS=Danio rerio OX=7955 GN=nars1 PE=1 SV=1",0.002375555,t-test,0.004284879,637466.7458,677533.018,703651.3035,855451.691,819892.1322,875841.3125,0.337776041,2.368061398
91,Q642H9,Small ribosomal subunit protein eS4 OS=Danio rerio OX=7955 GN=rps4x PE=1 SV=3,0.001782146,t-test,0.003474285,605233.1324,557310.7518,584010.5587,713489.2492,734803.3959,742604.0625,0.327009854,2.459134552
