,Accession,Description,P-value,Test,Adjusted P-value (BH),"Abundances (Normalized): F1: Sample, Control, 1","Abundances (Normalized): F2: Sample, Control, 2","Abundances (Normalized): F3: Sample, Control, 3","Abundances (Normalized): F4: Sample, Mutant, 1","Abundances (Normalized): F5: Sample, Mutant, 2","Abundances (Normalized): F6: Sample, Mutant, 3",log2(Fold Change),#NAME?
142,Q66I52,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Danio rerio OX=7955 GN=ndufs6 PE=1 SV=1",0.018980466,t-test,0.026935514,736501.5614,871776.3546,702716.1011,579397.0096,492042.6637,467048.8125,-0.586999878,1.569674725
143,Q7T358,Eukaryotic peptide chain release factor GTP-binding subunit OS=Danio rerio OX=7955 GN=gspt1l PE=1 SV=1,0.001995023,t-test,0.003774897,2098452.239,2029184.827,1959892.254,1322915.101,1357468.067,1331087.281,-0.601725646,2.423094947
144,Q6TLD7,Peptidyl-prolyl cis-trans isomerase OS=Danio rerio OX=7955 GN=ppih PE=1 SV=1,0.000486068,t-test,0.001191614,148575.2039,147422.9331,141694.8811,97229.3285,96107.64505,94310.32813,-0.605618434,2.923864424
145,Q6PHI8,transketolase OS=Danio rerio OX=7955 GN=tktb PE=1 SV=1,0.000461906,t-test,0.001158171,18286400.07,18711123.22,17718322.83,11730094.01,11811924.04,12141885.28,-0.616685274,2.936227213
146,Q3B7R0,Cytochrome c-1 OS=Danio rerio OX=7955 GN=cyc1 PE=1 SV=1,0.013147593,t-test,0.019370118,139701.8169,155579.6747,170722.0698,91899.54517,102974.2432,105617.5547,-0.633017552,1.712867742
147,Q568D0,Histone H1-like OS=Danio rerio OX=7955 GN=histh1l1 PE=1 SV=1,0.001395832,t-test,0.002777274,6510464.932,6211309.736,6676532.796,4023897.481,4083885.196,3932150.156,-0.688103437,2.55638123
148,Q6NUW4,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Danio rerio OX=7955 GN=ddah1 PE=1 SV=1",0.000913737,t-test,0.00207472,1392393.297,1316131.743,1269868.87,824933.3053,748513.196,894635.25,-0.688795946,2.683040474
149,Q803R9,aldehyde dehydrogenase (NAD(+)) OS=Danio rerio OX=7955 GN=aldh7a1 PE=1 SV=1,5.72E-06,t-test,7.89E-05,4683488.022,4691341.258,4759320.666,2665241.184,2720155.999,2790045.25,-0.789816407,4.102979261
151,Q5RKM2,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Danio rerio OX=7955 GN=ndufs1 PE=1 SV=1",0.000762545,t-test,0.001761157,1566820.267,1480183.698,1528310.569,844139.2573,864615.5631,847382.3125,-0.839905689,2.754202014
152,Q5PRA2,2-oxoadipate dehydrogenase complex component E1 OS=Danio rerio OX=7955 GN=dhtkd1 PE=2 SV=2,0.004355118,t-test,0.007246016,1018247.489,968458.4337,882779.9299,520485.8377,560644.6108,516680.9063,-0.844695175,2.139900717
153,Q5TZ75,"Cytochrome P450, family 2, subfamily J, polypeptide 24 OS=Danio rerio OX=7955 GN=cyp2p7 PE=2 SV=1",0.000487759,t-test,0.001191614,738891.6289,761052.9985,745651.8355,398300.3076,444733.188,399827,-0.853434326,2.923864424
155,Q7SZD3,78 kDa glucose-regulated protein OS=Danio rerio OX=7955 GN=hspa5 PE=1 SV=1,3.99E-05,t-test,0.00020289,7276027.679,7506536.316,7356516.203,4036316.131,3941447.541,3944784.75,-0.892902642,3.692738411
157,A1A5X7,"TAF15 RNA polymerase II, TATA box-binding protein (TBP)-associated factor OS=Danio rerio OX=7955 GN=taf15 PE=1 SV=1",0.003145113,t-test,0.005419703,316329.5263,347425.0918,300402.7456,159901.6415,180589.2868,170676.4688,-0.915472811,2.266024518
158,Q66I08,Organic solute transporter subunit alpha OS=Danio rerio OX=7955 GN=slc51a PE=2 SV=1,1.69E-05,t-test,0.000130499,5171513.508,5068437.349,5048006.604,2719506.399,2659605.789,2710136.5,-0.91831805,3.884391852
159,Q7SXK3,Pyruvate kinase OS=Danio rerio OX=7955 GN=pklr PE=1 SV=1,7.43E-05,t-test,0.000326073,14133489.89,13563378.15,14264682.47,7092340.9,7329088.971,6916444.406,-0.975651529,3.486684974
161,A0A8M9QK77,Toll-like receptor 13 OS=Danio rerio OX=7955 GN=LOC572462 PE=3 SV=1,3.35E-05,t-test,0.000179542,16227063.75,16108105.67,16725828.82,8031338.41,8174581.196,8381775.5,-0.996640088,3.745834595
163,A0A8M2B865,Calpastatin OS=Danio rerio OX=7955 GN=cast PE=1 SV=1,0.002118443,t-test,0.00396951,286408.6042,294352.2439,253396.0833,121606.2229,137613.0334,142447.1406,-1.054321054,2.401263126
164,Q6PCR7,Eukaryotic translation initiation factor 3 subunit A OS=Danio rerio OX=7955 GN=eif3a PE=2 SV=1,0.004619026,t-test,0.007428933,240234.4097,282172.0656,293228.9301,145964.26,119405.3734,125158.4063,-1.062498265,2.129073554
165,C5H5I1,Plexin B2 OS=Danio rerio OX=7955 GN=plxnb2a.1 PE=1 SV=1,0.005922385,t-test,0.009369018,235501.4439,205732.0345,188682.517,99306.52182,74353.03217,126761.0938,-1.068175474,2.028305909
166,Q1ED16,"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Danio rerio OX=7955 GN=acad9 PE=1 SV=1",0.008384755,t-test,0.012856951,431782.7767,483322.3245,385490.3769,211195.8412,207892.0647,180312.9063,-1.117579369,1.890862021
167,F1Q883,"6-phosphogluconate dehydrogenase, decarboxylating OS=Danio rerio OX=7955 GN=pgd PE=1 SV=1",0.001051437,t-test,0.002210455,10908818.36,10486376.11,10262688.66,4847015.17,4870563.475,4826078.75,-1.122174671,2.655518294
168,A0A8M1PAV5,Catalase OS=Danio rerio OX=7955 GN=cat PE=1 SV=1,1.91E-05,t-test,0.000141987,61605236.91,62892177.17,60107739.74,29067110.73,28148102.02,27308534,-1.127014205,3.847752698
169,Q4VBU0,2-oxoisovalerate dehydrogenase subunit alpha OS=Danio rerio OX=7955 GN=bckdha PE=1 SV=1,2.15E-05,t-test,0.000143384,1419429.734,1452899.924,1505103.626,618679.0863,702624.1764,663255.5,-1.141266909,3.843499588
